Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
11196,16,-64,-992,13878,4013,30756,278,face up
11232,48,-48,-992,12178,6713,31356,295,face up
11268,48,-64,-992,12178,6713,31356,293,face up
11304,-16,-64,-992,12178,6713,31356,290,face up
11340,16,-64,-1008,10478,9013,31856,304,face up
11376,64,-48,-992,10478,9013,31856,311,face up
11412,32,-48,-992,7978,11113,31456,323,face up
11448,0,-64,-992,7978,11113,31456,318,face up
11484,16,-64,-992,7978,11113,31456,320,face up
11520,32,-48,-992,6178,12013,31956,333,face up
11556,48,-48,-992,6178,12013,31956,336,face up
11592,64,-48,-992,3978,12713,32556,350,face up
11664,16,-64,-992,3978,12713,32556,341,face up
11736,16,-64,-992,4178,13213,31356,341,face up
11778,16,-64,-992,3578,12913,31856,344,face up
11814,16,-64,-992,3578,12913,31856,344,face up
11850,16,-64,-992,3578,12913,31856,344,face up
11886,16,-64,-992,3678,13113,31556,344,face up
11922,16,-64,-992,3678,13113,31556,344,face up
11958,16,-64,-992,3678,13113,31556,344,face up
11994,16,-64,-992,3278,13113,31956,345,face up
12030,16,-64,-992,3278,13113,31956,345,face up
12066,16,-64,-992,3678,12713,31456,343,face up
12102,16,-64,-992,3678,12713,31456,343,face up
12138,16,-64,-992,3678,12713,31456,343,face up
12174,16,-64,-992,3378,12913,31056,345,face up
12210,16,-64,-992,3378,12913,31056,345,face up
12246,16,-64,-992,3478,12713,31456,344,face up
12282,16,-64,-992,3478,12713,31456,344,face up
12318,16,-64,-992,3478,12713,31456,344,face up
12354,16,-64,-992,3378,12613,31256,344,face up
12390,32,-64,-992,3378,12613,31256,347,face up
12426,16,-48,-992,3678,12813,32556,344,face up
12462,0,-64,-1008,3678,12813,32556,341,face up
12498,-64,-96,-992,3678,12813,32556,329,face up
12534,32,-80,-992,2978,13313,32256,349,face up
12576,48,-64,-992,2978,13313,32256,352,face up
12612,48,-80,-992,1878,13613,31656,358,face up
12648,32,-80,-992,1878,13613,31656,355,face up
12684,0,-64,-992,1878,13613,31656,350,face up
12720,32,-64,-992,-322,14613,30756,5,face up
12756,32,-64,-992,-322,14613,30756,5,face up
12792,32,-80,-992,-322,14613,30756,6,face up
12828,0,-80,-992,-4422,15213,31356,19,face up
12864,16,-96,-992,-4422,15213,31356,22,face up
12900,0,-80,-992,-8522,15113,33056,34,face up
12936,0,-96,-992,-8522,15113,33056,35,face up
12972,16,-64,-992,-8522,15113,33056,34,face up
13008,48,-64,-992,-12422,13813,33456,50,face up
13044,32,-32,-1008,-12422,13813,33456,46,face up
13080,32,-48,-992,-16122,12813,33356,56,face up
13116,48,-48,-992,-16122,12813,33356,57,face up
13152,48,-32,-1040,-16122,12813,33356,56,face up
13188,16,-64,-992,-18822,11113,34556,65,face up
13224,32,-64,-992,-18822,11113,34556,65,face up
13260,0,-64,-992,-18822,11113,34556,64,face up
13296,16,-64,-992,-20522,9013,33956,72,face up
13338,32,-64,-992,-20522,9013,33956,72,face up
13374,48,-80,-992,-21922,6713,34056,80,face up
13410,32,-80,-992,-21922,6713,34056,80,face up
13446,0,-80,-992,-21922,6713,34056,79,face up
13482,0,-80,-992,-22322,5313,33856,83,face up
13518,32,-80,-992,-22322,5313,33856,83,face up
13554,32,-80,-992,-22822,2813,33856,89,face up
13590,16,-96,-992,-22822,2813,33856,91,face up
13626,16,-96,-992,-22822,2813,33856,91,face up
13662,32,-80,-992,-23122,413,34656,95,face up
13698,16,-48,-992,-23122,413,34656,93,face up
13734,0,-48,-992,-22622,-2987,34556,101,face up
13770,16,-64,-992,-22622,-2987,34556,102,face up
13806,32,-64,-992,-22622,-2987,34556,102,face up
13842,16,-80,-992,-21922,-5487,34956,110,face up
13878,0,-64,-992,-21922,-5487,34956,109,face up
13914,48,-64,-992,-21022,-7787,34856,113,face up
13950,16,-80,-992,-21022,-7787,34856,116,face up
13986,16,-80,-992,-21022,-7787,34856,116,face up
14022,0,-48,-992,-19022,-10087,34156,121,face up
14058,0,-80,-992,-19022,-10087,34156,123,face up
14100,32,-64,-992,-16622,-12287,34856,129,face up
14136,16,-64,-992,-16622,-12287,34856,130,face up
14172,16,-64,-992,-16622,-12287,34856,130,face up
14208,0,-48,-1008,-14422,-13887,34056,137,face up
14244,16,-80,-992,-14422,-13887,34056,137,face up
14280,32,-80,-992,-14422,-13887,34056,136,face up
14316,16,-64,-992,-13322,-14687,34756,140,face up
14352,32,-64,-992,-13322,-14687,34756,139,face up
14388,16,-64,-992,-10622,-16387,33956,148,face up
14424,32,-64,-992,-10622,-16387,33956,147,face up
14460,16,-80,-992,-10622,-16387,33956,149,face up
14496,16,-64,-992,-8722,-17187,34256,154,face up
14532,32,-48,-992,-8722,-17187,34256,152,face up
14568,0,-80,-992,-7022,-18287,33656,161,face up
14604,16,-80,-992,-7022,-18287,33656,160,face up
14640,32,-64,-992,-7022,-18287,33656,158,face up
14676,32,-48,-992,-4122,-18287,32856,165,face up
14712,-16,-80,-992,-4122,-18287,32856,170,face up
14748,0,-80,-992,-4122,-18287,32856,168,face up
14784,48,-64,-992,-1422,-18887,33156,171,face up
14826,32,-48,-992,-1422,-18887,33156,173,face up
14862,-16,-64,-992,1078,-18987,34356,184,face up
14898,16,-64,-992,1078,-18987,34356,181,face up
