Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
18492,48,816,-640,-22136,-53245,21820,125,
18564,160,784,-640,-22136,-53245,21820,129,
18600,112,800,-640,-21336,-53445,22920,127,
18636,112,784,-656,-21336,-53445,22920,128,
18672,144,816,-640,-21336,-53445,22920,127,
18708,112,800,-656,-21436,-53545,22220,129,
18744,128,800,-640,-21436,-53545,22220,128,
18786,112,800,-640,-21936,-53245,22320,127,
18822,112,800,-640,-21936,-53245,22320,127,
18858,128,800,-640,-21936,-53245,22320,127,
18894,128,784,-656,-21136,-53345,23520,128,
18930,112,800,-640,-21136,-53345,23520,126,
18966,128,800,-640,-21136,-53345,23520,126,
19002,112,800,-656,-21836,-53045,24720,125,
19044,128,800,-640,-21836,-53045,24720,124,
19080,112,800,-640,-21736,-53745,25020,124,
19116,112,800,-656,-21736,-53745,25020,125,
19152,128,800,-640,-21736,-53745,25020,124,
19188,112,800,-640,-21736,-53645,23220,126,
19224,128,800,-640,-21736,-53645,23220,127,
19260,128,800,-640,-21736,-53645,23220,127,
19296,128,800,-640,-21536,-53545,22120,128,
19332,128,784,-656,-21536,-53545,22120,130,
19368,128,800,-640,-21836,-53345,22720,127,
19404,112,800,-640,-21836,-53345,22720,127,
19440,128,800,-640,-21836,-53345,22720,127,
19476,128,800,-640,-21736,-53945,23220,127,
19512,128,800,-640,-21736,-53945,23220,127,
19548,112,800,-640,-21836,-53945,22820,127,
19590,112,800,-640,-21836,-53945,22820,127,
19626,128,800,-640,-21836,-53945,22820,127,
19662,112,800,-640,-21636,-53945,23820,126,
19698,128,800,-656,-21636,-53945,23820,127,
19734,128,800,-656,-21636,-53945,23820,127,
19770,112,800,-640,-21736,-53445,24220,125,
19812,128,800,-640,-21736,-53445,24220,125,
19848,128,800,-640,-21236,-53245,23320,127,
19884,128,800,-656,-21236,-53245,23320,127,
19920,112,800,-640,-21236,-53245,23320,126,
19992,128,800,-640,-21736,-53445,23620,126,
20028,112,800,-640,-21736,-53445,23620,126,
20064,128,800,-640,-21436,-52945,22320,127,
20100,112,800,-640,-21436,-52945,22320,127,
20136,128,800,-640,-21236,-53845,22720,128,
20172,128,800,-640,-21236,-53845,22720,128,
20208,128,800,-656,-21236,-53845,22720,129,
20244,128,800,-656,-21336,-54045,24520,126,
20280,128,800,-640,-21336,-54045,24520,126,
20316,128,800,-640,-21336,-54045,24520,126,
20352,112,800,-640,-21136,-53645,23220,128,
20394,128,800,-640,-21136,-53645,23220,127,
20430,112,800,-656,-21136,-53645,22420,129,
20466,128,800,-640,-21136,-53645,22420,128,
20502,128,800,-656,-21136,-53645,22420,129,
20538,128,800,-640,-22036,-53845,23220,127,
20574,128,784,-640,-22036,-53845,23220,127,
20610,128,800,-656,-22036,-53845,23220,127,
20646,128,800,-640,-21536,-54045,25320,124,
20688,128,800,-640,-21536,-54045,25320,124,
20724,112,800,-640,-22036,-53645,23320,126,
20760,128,800,-656,-22036,-53645,23320,127,
20796,112,800,-640,-22036,-53645,23320,126,
20832,128,800,-640,-21236,-53745,24220,126,
20868,128,800,-640,-21236,-53745,24220,126,
20904,128,800,-640,-21236,-53745,24220,126,
20940,128,800,-656,-21136,-53245,23620,127,
20976,128,800,-640,-21136,-53245,23620,126,
21012,112,800,-640,-21536,-53345,23620,126,
21048,128,800,-640,-21536,-53345,23620,126,
21084,128,800,-640,-21536,-53345,23620,126,
21120,128,800,-640,-21136,-53445,24020,126,
21156,128,800,-640,-21136,-53445,24020,126,
21198,128,800,-640,-21136,-53645,23920,126,
21234,128,800,-640,-21136,-53645,23920,126,
21270,112,800,-656,-21136,-53645,23920,127,
21342,128,800,-640,-21636,-53645,24420,125,
21378,128,800,-640,-21636,-53645,24420,125,
21414,128,800,-640,-21736,-53845,24020,126,
21456,128,800,-640,-21736,-53845,24020,126,
21492,128,800,-640,-21736,-53945,21820,129,
21534,128,800,-640,-21736,-53945,21820,129,
21570,128,800,-640,-21736,-53945,21820,129,
21606,128,800,-640,-21536,-53645,24620,125,
21642,128,800,-656,-21536,-53645,24620,126,
21678,112,800,-640,-21536,-53645,24620,125,
21714,112,800,-640,-21636,-53345,24620,124,
21750,128,800,-640,-21636,-53345,24620,125,
21786,128,800,-640,-21336,-53545,24020,126,
21822,128,800,-640,-21336,-53545,24020,126,
21858,128,800,-640,-21336,-53545,24020,126,
21894,128,800,-640,-21436,-53745,24120,126,
21930,128,800,-640,-21436,-53745,24120,126,
21966,112,800,-640,-21436,-53745,24120,125,
22044,128,800,-640,-21736,-53645,25020,124,
22080,112,800,-640,-21336,-53545,23620,126,
22116,128,800,-640,-21336,-53545,23620,126,
22152,128,784,-640,-21336,-53545,23620,127,
22188,128,800,-640,-21236,-53745,23920,126,
22230,128,800,-656,-21236,-53745,23920,127,
22266,128,800,-640,-21536,-53845,24120,126,
22308,128,800,-640,-21536,-53845,24120,126,
22344,128,800,-640,-21536,-53845,24120,126,
22380,128,800,-640,-21336,-53145,23520,126,
22452,112,800,-640,-21336,-53145,23520,126,
22488,128,800,-640,-21936,-53445,23820,125,
22524,128,800,-640,-21936,-53445,23820,125,
22560,128,800,-640,-21536,-53645,24120,126,
22596,112,800,-640,-21536,-53645,24120,125,
22632,128,800,-640,-21536,-53645,24120,126,
22668,112,800,-640,-21636,-53145,24220,125,
22704,128,800,-640,-21636,-53145,24220,125,
22740,112,800,-656,-21636,-53145,24220,125,
22776,128,800,-640,-21536,-53745,23120,127,
22818,128,800,-640,-21536,-53745,23120,127,
22854,128,800,-640,-21436,-53845,23720,126,
22926,128,800,-640,-21436,-53845,23720,126,
22962,112,800,-640,-21736,-53645,23720,126,
23034,128,800,-656,-21736,-53645,23720,127,
23070,112,800,-640,-21436,-53245,24820,124,
23112,128,800,-640,-21436,-53245,24820,124,
23148,112,800,-640,-21336,-53745,24120,126,
23184,128,800,-656,-21336,-53745,24120,127,
23220,112,800,-640,-21336,-53745,24120,126,
23256,112,800,-640,-21036,-53745,21920,129,
23292,128,800,-656,-21036,-53745,21920,130,
23328,128,800,-640,-21536,-54045,24120,126,
23364,128,800,-640,-21536,-54045,24120,126,
23400,128,800,-640,-21536,-54045,24120,126,
23436,112,800,-640,-21136,-53745,23520,126,
23472,128,800,-640,-21136,-53745,23520,127,
23508,128,800,-640,-21136,-53745,23520,127,
23544,128,800,-640,-21436,-53145,23120,127,
23580,112,800,-640,-21436,-53145,23120,126,
23622,128,800,-656,-21836,-53745,23920,127,
23658,128,800,-656,-21836,-53745,23920,127,
23694,128,800,-640,-21836,-53745,23920,126,
23730,128,800,-640,-21836,-53745,22820,127,
23766,128,800,-656,-21836,-53745,22820,128,
23802,128,800,-640,-21836,-53745,22820,127,
23838,112,800,-640,-21736,-53445,23920,125,
23874,128,800,-640,-21736,-53445,23920,126,
23910,128,800,-640,-21536,-53645,22720,127,
23988,128,800,-640,-21536,-53645,22720,127,
24024,128,800,-640,-21836,-53645,23720,126,
24060,128,800,-640,-21836,-53645,23720,126,
24096,128,800,-656,-21836,-53645,23720,127,
24132,128,800,-640,-22236,-53645,22920,127,
24168,128,800,-640,-22236,-53645,22920,127,
24204,128,800,-640,-21936,-53945,22920,127,
24240,128,800,-640,-21936,-53945,22920,127,
24276,112,800,-640,-21936,-53945,22920,127,
24312,128,800,-656,-21536,-53545,22420,129,
24348,128,800,-640,-21536,-53545,22420,128,
24384,128,800,-640,-21536,-53545,22420,128,
24426,128,800,-640,-21836,-53845,22520,128,
24462,128,800,-640,-21836,-53845,22520,128,
24498,112,800,-640,-22436,-53745,23220,126,
24534,112,800,-640,-22436,-53745,23220,126,
24606,112,800,-640,-22136,-54245,22920,127,
24642,128,800,-656,-22136,-54245,22920,128,
24678,128,800,-640,-22136,-54245,22920,127,
24714,128,800,-640,-21736,-53445,23320,126,
24756,128,800,-640,-21736,-53445,23320,126,
24792,128,800,-640,-21536,-53945,22420,128,
24828,128,800,-640,-21536,-53945,22420,128,
24864,128,800,-640,-21536,-53945,22420,128,
24900,128,800,-656,-21736,-53645,23720,127,
24936,128,800,-640,-21736,-53645,23720,126,
24972,128,800,-640,-21636,-53945,22620,128,
25008,128,800,-640,-21636,-53945,22620,128,
25044,112,800,-656,-21636,-53945,22620,128,
25080,112,800,-640,-21736,-53745,22820,127,
25116,128,784,-672,-21736,-53745,22820,130,
25152,128,800,-640,-21736,-53745,22820,127,
25188,128,784,-656,-21736,-53945,23520,128,
25230,128,800,-640,-21736,-53945,23520,126,
25266,128,800,-656,-22036,-53745,23120,127,
25302,128,784,-640,-22036,-53745,23120,127,
25338,128,800,-640,-22036,-53745,23120,127,
25374,112,800,-640,-21836,-53945,22120,128,
25410,128,800,-640,-21836,-53945,22120,128,
25446,128,800,-640,-21836,-53945,22120,128,
