Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
32592,112,816,-656,-21536,-53945,23320,127,
32628,144,784,-656,-21336,-54045,22920,130,
32664,160,800,-624,-21336,-54045,22920,128,
32700,160,832,-688,-21336,-54045,22920,129,
32736,128,800,-608,-21336,-54245,23120,126,
32772,144,800,-656,-21336,-54245,23120,129,
32808,96,784,-688,-21736,-54645,23420,130,
32844,128,768,-688,-21736,-54645,23420,131,
32880,112,832,-528,-21736,-54645,23420,118,
32916,128,784,-672,-21436,-53945,23820,129,
32952,128,800,-592,-21436,-53945,23820,124,
32988,128,816,-624,-21436,-53945,23820,125,
33024,128,784,-608,-21736,-53945,23220,126,
33060,96,800,-624,-21736,-53945,23220,125,
33096,144,768,-768,-21736,-53945,23220,134,
33132,128,800,-496,-21836,-54145,22120,120,
33204,112,800,-608,-21836,-53845,25320,122,
33240,176,848,-528,-21836,-53845,25320,117,
33282,160,816,-688,-21836,-53845,25320,126,
33318,112,784,-656,-21736,-54345,23320,128,
33354,112,800,-656,-21736,-54345,23320,128,
33390,160,784,-672,-21936,-54445,23420,130,
33426,96,800,-640,-21936,-54445,23420,126,
33462,96,784,-624,-21936,-54445,23420,126,
33498,112,816,-688,-22036,-54945,24820,127,
33540,128,800,-672,-22036,-54945,24820,127,
33612,112,832,-800,-22036,-54545,25020,131,
33648,128,784,-672,-22036,-54545,25020,127,
33684,128,800,-592,-21236,-54245,24420,123,
33720,128,816,-608,-21236,-54245,24420,123,
33756,192,832,-592,-21236,-54245,24420,124,
33792,32,768,-656,-22036,-54045,23620,127,
33828,128,800,-832,-22036,-54045,23620,135,
33864,128,832,-576,-22036,-54045,23620,121,
33900,112,784,-624,-21736,-54145,23820,126,
33936,160,816,-640,-21736,-54145,23820,126,
33972,160,784,-704,-21736,-53945,24320,130,
34008,128,816,-624,-21736,-53945,24320,124,
34044,128,784,-576,-21736,-53945,24320,121,
34086,64,848,-736,-21536,-54145,23920,128,
34122,128,768,-640,-21536,-54145,23920,128,
34158,176,784,-608,-21536,-54145,23920,127,
34230,176,768,-704,-21836,-54445,23720,132,
34266,144,784,-672,-21736,-54445,24220,129,
34308,112,784,-576,-21736,-54445,24220,123,
34344,96,800,-720,-21736,-54445,24220,130,
34380,48,784,-608,-21336,-55045,24220,124,
34416,128,816,-624,-21336,-55045,24220,125,
34452,208,832,-592,-21436,-54645,23620,126,
34488,144,800,-576,-21436,-54645,23620,124,
34524,160,816,-608,-21436,-54645,23620,126,
34560,160,736,-736,-21536,-54345,23520,134,
34596,192,864,-544,-21536,-54345,23520,122,
34632,128,800,-752,-21536,-54345,23520,132,
34668,144,784,-512,-21736,-54445,24520,119,
34704,128,768,-736,-21736,-54445,24520,132,
34740,112,784,-688,-21736,-54445,24520,129,
34776,128,768,-576,-22136,-54545,24120,124,
34812,128,800,-592,-22136,-54545,24120,123,
34848,112,816,-656,-22136,-54745,24720,125,
34890,64,784,-720,-22136,-54745,24720,130,
34926,112,800,-640,-22136,-54745,24720,125,
34962,160,800,-640,-21936,-54445,23120,128,
34998,160,752,-736,-21936,-54445,23120,134,
35034,112,800,-640,-21936,-54345,24220,125,
35070,128,816,-704,-21936,-54345,24220,128,
35106,80,800,-752,-21936,-54345,24220,131,
35142,144,816,-640,-21836,-54345,24420,125,
35178,144,768,-672,-21836,-54345,24420,129,
35214,144,816,-576,-21836,-54345,24420,122,
35250,96,816,-640,-21736,-54145,23520,125,
35286,144,800,-576,-21736,-54145,23520,124,
35358,128,768,-736,-21236,-54745,24820,132,
