Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
25428,0,-112,-992,6078,-12387,36056,200,face up
25464,0,-128,-976,6078,-12387,36056,199,face up
25500,0,-80,-992,6778,-14087,35456,201,face up
25536,16,-80,-1024,6778,-14087,35456,200,face up
25572,0,-32,-1024,6778,-14087,35456,204,face up
25614,16,-32,-1008,6578,-16387,34156,199,face up
25650,0,-16,-992,6578,-16387,34156,201,face up
25686,0,0,-992,7378,-18587,32556,201,face up
25722,0,32,-1008,7378,-18587,32556,202,face up
25758,0,48,-1024,7378,-18587,32556,203,face up
25794,0,64,-1024,7378,-20687,32856,201,face up
25830,0,80,-992,7378,-20687,32856,202,face up
25866,0,96,-992,7578,-21487,31656,202,face up
25902,0,112,-992,7578,-21487,31656,203,face up
25938,0,112,-992,7578,-21487,31656,203,face up
25974,0,144,-976,7678,-22987,31156,202,face up
26010,0,144,-1008,7678,-22987,31156,202,face up
26046,0,176,-992,7778,-24387,30356,202,face up
26082,0,192,-992,7778,-24387,30356,203,face up
26118,0,192,-992,7778,-24387,30356,203,face up
26154,0,224,-976,8178,-25887,30956,204,face up
26190,16,224,-992,8178,-25887,30956,202,face up
26226,0,240,-960,8178,-25887,30956,204,face up
26262,16,256,-976,8078,-27287,29856,201,face up
26298,0,288,-960,8078,-27287,29856,204,face up
26334,0,272,-944,8978,-27687,28656,205,face up
26376,16,288,-960,8978,-27687,28656,204,face up
26412,-16,320,-960,8978,-27687,28656,208,face up
26448,0,320,-944,9278,-28987,27656,206,face up
26484,16,336,-944,9278,-28987,27656,206,face up
26520,0,336,-944,8678,-30087,26856,204,face up
26556,0,352,-944,8678,-30087,26856,204,face up
26592,-16,336,-944,8678,-30087,26856,205,face up
26628,0,384,-928,8878,-30787,25756,205,face up
26664,0,400,-928,8878,-30787,25756,206,face up
26700,0,400,-928,9078,-32187,26256,205,face up
26736,0,432,-912,9078,-32187,26256,206,face up
26772,16,384,-912,9078,-32187,26256,203,face up
